block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses,fa_rate_recent100,p_catch
0,171,target,"[(1150, 793)]",[],[1],[0.6166666666666667],vertical,"(390.0, 762.0)",0.5833333333333334,0.577,1,6152.407,1,0.04,0.25
0,172,target,"[(1169, 795)]",[],[1],[0.6833333333333333],horizontal,"(890.0, 262.0)",0.4,0.638,1,6157.526,1,0.04,0.25
0,173,target,"[(1158, 767)]",[],[1],[0.5333333333333333],horizontal,"(890.0, 262.0)",0.5333333333333333,0.491,1,6162.012,1,0.04,0.25
0,174,target,"[(1177, 753), (1161, 780)]",[],"[0, 1]",[0.5166666666666666],vertical,"(390.0, 762.0)",1.45,0.476,1,6166.593,2,0.04,0.25
0,175,catch,"[(1179, 761)]",[],[1],[],vertical,"(890.0, 262.0)",1.65,nan,1,6173.243,2,0.04,0.25
0,176,target,"[(1154, 773)]",[],[1],[0.6833333333333333],horizontal,"(890.0, 262.0)",1.25,0.643,1,6178.526,2,0.04,0.25
0,177,target,"[(1174, 789)]",[],[1],[0.6],horizontal,"(890.0, 262.0)",0.5,0.558,1,6183.943,2,0.04,0.25
0,178,catch,"[(1163, 745), (1149, 829)]",[],"[0, 1]",[],horizontal,"(390.0, 262.0)",,"('cti', 1.392),nan",0,6189.012,0,0.06,0.25
0,179,target,"[(1157, 789)]",[],[1],[0.55],vertical,"(390.0, 262.0)",0.48333333333333334,0.512,1,6194.425,1,0.06,0.25
0,180,catch,"[(1169, 748), (1129, 799)]",[],"[0, 1]",[],horizontal,"(390.0, 262.0)",1.65,nan,1,6198.789,1,0.06,0.25
0,181,target,"[(1178, 794)]",[],[1],[0.6],vertical,"(890.0, 762.0)",0.48333333333333334,0.562,1,6205.126,1,0.04,0.25
0,182,target,"[(1167, 794)]",[],[1],[0.6333333333333333],vertical,"(390.0, 262.0)",1.3833333333333333,0.593,1,6209.526,2,0.04,0.25
0,183,target,"[(1154, 779)]",[],[1],[0.65],horizontal,"(890.0, 262.0)",0.7166666666666667,0.604,1,6215.276,2,0.04,0.25
0,184,target,"[(1156, 789)]",[],[1],[0.7166666666666667],vertical,"(390.0, 762.0)",1.5166666666666666,0.671,1,6220.559,2,0.04,0.25
0,185,catch,"[(1184, 773)]",[],[1],[],horizontal,"(890.0, 262.0)",1.65,nan,1,6226.308,2,0.04,0.25
0,186,target,"[(1157, 764)]",[],[1],[0.55],vertical,"(890.0, 262.0)",0.6833333333333333,0.506,1,6231.726,3,0.04,0.25
0,187,target,"[(1174, 777)]",[],[1],[0.55],vertical,"(890.0, 762.0)",1.5166666666666666,0.509,1,6237.509,3,0.04,0.25
0,188,target,"[(1154, 794)]",[],[1],[0.7333333333333333],vertical,"(390.0, 762.0)",1.1,0.692,1,6243.812,3,0.04,0.25
0,189,catch,"[(1179, 763)]",[],[1],[],vertical,"(390.0, 762.0)",1.65,nan,1,6250.002,3,0.04,0.25
0,190,target,"[(1134, 770)]",[],[1],[0.85],vertical,"(390.0, 762.0)",0.6833333333333333,nan,0,6255.754,0,0.04,0.25
0,191,target,"[(1153, 779)]",[],[1],[0.5333333333333333],horizontal,"(890.0, 262.0)",1.1666666666666667,0.496,1,6259.874,1,0.04,0.25
0,192,target,"[(1169, 789)]",[],[1],[0.55],vertical,"(390.0, 262.0)",0.6,0.511,1,6265.672,1,0.04,0.25
0,193,target,"[(1177, 789)]",[],[1],[0.6333333333333333],horizontal,"(890.0, 762.0)",0.8333333333333334,0.596,1,6270.209,1,0.04,0.25
0,194,target,"[(1156, 797)]",[],[1],[0.6666666666666666],vertical,"(890.0, 262.0)",0.8333333333333334,0.627,1,6274.886,2,0.04,0.25
0,195,target,"[(1181, 770)]",[],[1],[0.6333333333333333],vertical,"(890.0, 762.0)",0.5333333333333333,0.592,1,6280.464,2,0.04,0.25
0,196,catch,"[(1177, 792)]",[],[1],[],vertical,"(890.0, 762.0)",1.65,nan,1,6284.93,2,0.04,0.25
0,197,target,"[(1155, 770)]",[],[1],[0.55],vertical,"(890.0, 262.0)",0.43333333333333335,0.503,1,6290.732,2,0.04,0.25
0,198,target,"[(1179, 753), (1135, 813)]",[],"[0, 1]",[0.75],horizontal,"(890.0, 262.0)",0.7833333333333333,0.71,1,6295.492,3,0.04,0.25
0,199,target,"[(1158, 773)]",[],[1],[0.5],horizontal,"(390.0, 762.0)",0.7833333333333333,0.458,1,6302.435,3,0.04,0.25
0,200,target,"[(1163, 789)]",[],[1],[0.6166666666666667],vertical,"(390.0, 262.0)",1.4833333333333334,0.577,1,6308.245,3,0.04,0.25
0,201,catch,"[(1109, 784)]",[],[1],[],vertical,"(390.0, 262.0)",,"('cti', 1.399),nan",0,6314.544,0,0.06,0.25
0,202,catch,"[(1164, 794)]",[],[1],[],horizontal,"(390.0, 262.0)",1.65,nan,1,6319.133,1,0.06,0.25
0,203,catch,"[(1168, 816)]",[],[1],[],horizontal,"(390.0, 762.0)",1.65,nan,1,6324.192,1,0.06,0.25
0,204,target,"[(1144, 764)]",[],[1],[0.7],vertical,"(390.0, 262.0)",0.8833333333333333,0.666,1,6329.86,1,0.06,0.25
0,205,target,"[(1155, 778)]",[],[1],[0.5833333333333334],vertical,"(890.0, 762.0)",0.5333333333333333,0.552,1,6335.043,2,0.06,0.25
0,206,catch,"[(1153, 765)]",[],[1],[],horizontal,"(390.0, 762.0)",1.65,nan,1,6339.859,2,0.06,0.25
0,207,target,"[(1157, 789)]",[],[1],[0.7833333333333333],vertical,"(390.0, 762.0)",1.2,0.746,1,6345.674,2,0.06,0.25
0,208,target,"[(1144, 792)]",[],[1],[0.7833333333333333],vertical,"(390.0, 262.0)",1.2666666666666666,0.739,1,6351.757,2,0.06,0.25
0,209,catch,"[(1158, 759)]",[],[1],[],vertical,"(390.0, 262.0)",1.65,nan,1,6357.674,3,0.06,0.25
0,210,target,"[(1159, 780)]",[],[1],[0.7166666666666667],horizontal,"(890.0, 762.0)",0.6166666666666667,0.676,1,6363.579,3,0.06,0.25
0,211,catch,"[(1172, 788)]",[],[1],[],horizontal,"(390.0, 262.0)",1.65,nan,1,6369.292,3,0.06,0.25
0,212,catch,"[(1149, 790)]",[],[1],[],horizontal,"(890.0, 262.0)",1.65,nan,1,6375.407,3,0.06,0.25
0,213,catch,"[(1139, 772)]",[],[1],[],vertical,"(390.0, 762.0)",1.65,nan,1,6381.793,3,0.06,0.25
0,214,catch,"[(1154, 766)]",[],[1],[],vertical,"(390.0, 262.0)",1.65,nan,1,6387.287,3,0.06,0.25
0,215,catch,"[(1173, 792)]",[],[1],[],horizontal,"(890.0, 262.0)",1.65,nan,1,6393.163,3,0.06,0.25
0,216,target,"[(1159, 779)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",1.4833333333333334,nan,0,6399.443,0,0.06,0.25
0,217,target,"[(1148, 794)]",[],[1],[0.6333333333333333],vertical,"(390.0, 262.0)",0.8,0.591,1,6404.302,1,0.06,0.25
0,218,target,"[(1199, 808)]",[],[1],[0.7],horizontal,"(390.0, 762.0)",0.7166666666666667,0.657,1,6409.194,1,0.06,0.25
0,219,target,"[(1153, 782)]",[],[1],[0.6166666666666667],horizontal,"(890.0, 262.0)",0.7166666666666667,0.576,1,6414.06,1,0.06,0.25
